id,archetype,session,reward,knowledge,style,clarity,energy,filler_words,sentence_length,pace
sales_000,quick_adapter,0,56.63649520553566,51.38466579995411,41.2136828118997,40.843517176117594,40.48896304410711,23.814780096325727,42.801557916052914,49.393612290402125
sales_000,quick_adapter,1,55.194990036792,53.335478715609845,42.38294116102626,39.02086825914354,40.8668908494515,23.895329531611193,51.94964206282468,59.152747629559904
sales_000,quick_adapter,2,51.963375511199494,53.5702850089849,41.314046309717675,38.36535943781708,42.6903531538263,25.53365654062704,61.662178653036875,62.471226499779085
sales_000,quick_adapter,3,51.60132019869414,55.523766313999715,41.501958268819024,38.02210528590462,42.71734070633246,24.303788684877183,64.92924701604458,64.84361049802811
sales_000,quick_adapter,4,50.98507059376497,56.55768792064849,42.08956345425701,39.35330700475874,42.1431880319143,23.56844116725421,65.86137614503515,65.88608694094786
sales_000,quick_adapter,5,50.59049783525626,54.966281885340955,42.275020804866394,40.14747296654379,45.61693355013242,23.946838497695488,66.59532412918087,66.45707889152654
sales_000,quick_adapter,6,50.935674483696125,54.48850472434177,44.8730714322864,40.76413783666521,46.35547377768407,23.38727672544457,66.48639182461424,65.92749984107755
sales_000,quick_adapter,7,50.15930494721507,55.220790601261456,43.55533556034332,41.711460234602455,46.308945059723,24.433469513181493,66.78687365911185,66.62094133355524
sales_000,quick_adapter,8,51.758643813013165,56.0711774686015,42.79451169804574,40.89753985816752,46.767712152405636,25.96334144198706,67.05166592410063,66.17272478482077
sales_000,quick_adapter,9,53.527541077070836,57.55029136955938,43.12822651914539,41.92193040390853,47.768336641234576,24.997901908822584,66.51276122715753,66.55053905922126
sales_000,quick_adapter,10,50.22941935495688,58.52309158711529,43.33633854026727,42.573667403914,48.25129137334583,26.639704593316978,67.06210473790905,66.97683443597528
sales_000,quick_adapter,11,52.94752979794448,58.88032375443809,43.04220351206328,40.97689146112757,48.13297992795902,27.825207746863448,66.35335674624831,67.08962745456425
sales_000,quick_adapter,12,52.54944453421396,59.9684647009458,46.41162050056592,42.676138768509055,47.557340995776926,27.66438358869493,66.96703832415221,66.79821635950553
sales_000,quick_adapter,13,53.16648020324288,61.34389272185378,45.19243735043352,42.56335422887433,47.84213973691278,28.078397737628983,66.34794294069623,66.48163468917222
sales_000,quick_adapter,14,52.10603494315041,61.30198667734993,44.9152978761011,42.808919586072115,48.675185373547585,27.330537020806815,66.58180895554504,66.96514751515912
sales_000,quick_adapter,15,52.656997697032665,61.81486499981119,44.53393244257271,43.89549644873748,49.03951689037895,26.2175228052561,66.4906065457849,67.53951458065697
sales_000,quick_adapter,16,52.06254206695583,61.44317206184288,44.713860279736515,45.846336154132636,47.67014413739021,26.237975205845807,66.76161290695701,67.85644247679585
sales_000,quick_adapter,17,51.27410241004984,60.347551152569366,46.04436723346059,46.273327887777846,47.27621071935328,27.793087088181753,66.18573741336938,68.32909367804648
sales_000,quick_adapter,18,53.24599535774469,58.50774919421931,46.677383186935515,47.400152837244946,47.5002160273052,27.920187506077784,66.72794472578606,67.85806853063806
sales_000,quick_adapter,19,55.23288231413471,60.14637493296968,45.91260248159553,47.47352048763299,48.34253006142209,28.721717169897637,67.34056631630801,67.67593558674925
sales_001,knowledge_focused,0,64.32499124597699,80.94789183726834,52.90074885657597,61.927159432901746,30.923457669706785,43.39216017821355,50.47377848871079,27.767739303049304
sales_001,knowledge_focused,1,64.39749985797548,82.20573321596733,53.20808562406703,61.84412639641899,30.580234465703153,43.96303444224573,53.473136158002205,29.216587863589723
sales_001,knowledge_focused,2,64.59196962337863,82.1458480586534,53.35878637417889,62.29638741405818,31.369978795460174,44.17104132917032,56.7813537795723,32.24420140986024
sales_001,knowledge_focused,3,65.81435101363182,82.34472234046972,53.761683357095464,63.28419055657257,32.00874341159328,45.03471142289183,60.16214040792431,34.34884273415573
sales_001,knowledge_focused,4,64.5084558509523,83.11833337021629,53.69087027847049,64.6605635497673,31.927797293557717,45.95790115168198,62.180870735234365,36.70655411138621
sales_001,knowledge_focused,5,64.66786294572175,84.31294612995293,54.05807004515912,65.26438425312129,31.774686882647643,46.40050368547558,63.27279666966573,39.55303596662255
sales_001,knowledge_focused,6,69.50980050404978,84.29192698133082,53.76458168442162,65.98286500305207,31.96868368634635,46.37137127908927,64.8919934067522,42.647350981265674
sales_001,knowledge_focused,7,69.5467307608478,86.07409736760721,53.54743938466036,67.57867120488203,33.11271716781072,45.69863998019806,64.77966563390008,44.89628621598055
sales_001,knowledge_focused,8,67.59138979409504,86.83535411274518,54.248550455053504,68.605707725371,32.134559045393026,46.564810790030904,64.63200611602014,48.668343956594114
sales_001,knowledge_focused,9,70.26188996090646,87.96787898978701,53.87096672599453,68.49657121523857,31.683636468931496,46.32368496734378,64.89298008724202,51.78953080704425
sales_001,knowledge_focused,10,71.44923301211661,89.83903364694068,53.85893998417866,68.42626502941901,31.613477701378642,45.43060136634193,64.6144640365133,55.890323509181556
sales_001,knowledge_focused,11,70.59573914889107,90.76985262509976,53.202328309216234,69.22420570849854,31.42479815872034,46.17405481471381,64.83292318617654,57.8442267178085
sales_001,knowledge_focused,12,64.66189679793199,92.47265712909815,53.25432014090905,69.60604662896301,31.540022581927488,45.8116680645995,65.78860424305263,60.85398402653665
sales_001,knowledge_focused,13,65.54683026409514,92.28564033422543,53.84066201755793,69.81693661081776,31.304424045403074,45.43573851198912,65.77778262308162,62.609533233478786
sales_001,knowledge_focused,14,64.34116831705535,93.6158492967224,53.33244922248722,69.43174517502148,30.768893064296254,45.1337540048993,66.187642783749,63.140229943393855
sales_001,knowledge_focused,15,62.90296195002557,94.33536678824413,53.45252560374358,69.59851931576715,30.776835822629394,44.62446203714468,66.64032524636312,64.72446251645918
sales_001,knowledge_focused,16,67.36404256912974,94.04034128334472,53.97758091377206,70.42213178511045,30.902278995670475,44.85770325659769,66.48244895389517,65.01517935634605
sales_001,knowledge_focused,17,65.03840394880118,94.85953254430274,53.04064946587553,70.50675420098791,30.790562103300665,45.308618278363916,66.61310712886355,66.29498265730582
sales_001,knowledge_focused,18,64.7478865503907,96.2415486911098,53.367734971319415,71.09013733698131,30.245589593315504,46.832320166556826,66.7960911523985,66.57272185256218
sales_001,knowledge_focused,19,67.26383579874141,96.99136002657269,53.80781330489907,71.62650506875804,29.797937585688647,46.66977564762294,66.62482401307078,66.85250968225812
sales_002,style_focused,0,57.735257826523856,37.45163588789255,39.210716500863754,32.60167137032691,40.4917164314428,42.64555077455192,51.23136213353522,43.65239049505078
sales_002,style_focused,1,52.439498683444555,37.97908966650215,41.26874138944952,32.85542008085474,42.38995799021035,42.585378203225275,56.21157209449488,47.886682110029184
sales_002,style_focused,2,55.24494229879387,37.31457708902525,41.32855391360082,33.13287343076539,41.817097278047115,40.8246415571195,59.73460587005266,53.23706417233987
sales_002,style_focused,3,51.11447413378254,38.07028226652339,42.66233021279816,34.21152657740058,41.856331827684336,40.22922130387146,61.84875646231508,57.70286886907071
sales_002,style_focused,4,53.5717505293914,38.77729930359832,41.72415629294152,34.458719405590955,41.72806966548009,40.65266160023303,63.149758485955665,60.360973242785285
sales_002,style_focused,5,50.844004039935676,39.513095703601564,42.97342354913169,35.397912008758674,42.25868528737367,40.6871631101653,64.63246984133332,62.23806914673936
